data,aula
2023-03-04,<a href="https://github.com/ProfLuciano/pln/blob/main/slides/intro.pdf">Introdução ao curso</a>
2023-03-04,<a href="https://github.com/ProfLuciano/pln/blob/main/slides/processamento_texto.pdf">Processamento de texto</a> | <a href="https://github.com/ProfLuciano/pln/blob/main/notebooks/Text_Processing.ipynb">Notebook</a>  
2023-03-04,<a href="https://github.com/ProfLuciano/pln/blob/main/slides/representation_learning.pdf">Representação de palavras</a> | <a href="https://colab.research.google.com/github/tensorflow/docs/blob/master/site/en/tutorials/keras/text_classification.ipynb">Notebook</a>  
2023-03-04,<a href="https://github.com/ProfLuciano/pln/blob/main/slides/lang_modeling.pdf">Language modeling</a> | <a href="https://github.com/ProfLuciano/pln/blob/main/notebooks/lm.ipynb">Notebook</a> 
2023-03-04,<a href="https://github.com/ProfLuciano/pln/blob/main/slides/bert.pdf">Modelos contextuais (BERT)</a>
2023-03-04,<a href="https://github.com/ProfLuciano/pln/blob/main/slides/text_generation.pdf">Geração Automática de Texto</a> | <a href="https://github.com/ProfLuciano/pln/blob/main/notebooks/text_generation.ipynb">Notebook</a>
2023-04-01,<a href="https://github.com/ProfLuciano/pln/blob/main/slides/chatbot.pdf">Chatbots</a> | <a href="https://github.com/ProfLuciano/pln/blob/main/slides/projeto.pdf">Projeto</a>
2023-04-01,<a href="https://github.com/ProfLuciano/pln/blob/main/slides/info_extraction.pdf">Information Extraction</a> | <a href="https://github.com/ProfLuciano/pln/blob/main/notebooks/ner.ipynb">Notebook</a> 
